ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050852	T cell receptor signaling pathway	13/225	150/18493	3.81399867243593e-08	1.32155053999905e-06	1.00468754502852e-06	GRAP2/CARD11/TRAT1/THEMIS/UBASH3A/PTPRC/CD28/FYB1/CD3G/ITK/CD226/TESPA1/CD3E	13
BP	GO:0002286	T cell activation involved in immune response	11/225	101/18493	4.12153503764459e-08	1.41048087954948e-06	1.07229540550545e-06	CD1C/LY9/IL6/CLEC4D/NLRP3/SLAMF6/EOMES/CCL19/IL12B/SPN/APBB1IP	11
BP	GO:0050663	cytokine secretion	15/225	210/18493	4.56888235170189e-08	1.54450510718508e-06	1.17418516920503e-06	CARD11/CD2/TLR8/CRTAM/TLR10/TLR4/NLRP3/FCN1/CD200R1/CSF1R/BANK1/CLEC9A/IL33/CCL19/LEP	15
BP	GO:0032680	regulation of tumor necrosis factor production	12/225	127/18493	4.93011542170197e-08	1.64653975288649e-06	1.25175536769148e-06	CCR2/CD2/PTPRC/CYBB/TLR4/LILRA4/CCL19/IL12B/LEP/GPR18/SPN/SLAMF1	12
BP	GO:0032640	tumor necrosis factor production	12/225	129/18493	5.8714319304325e-08	1.92550234659112e-06	1.46383219331489e-06	CCR2/CD2/PTPRC/CYBB/TLR4/LILRA4/CCL19/IL12B/LEP/GPR18/SPN/SLAMF1	12
BP	GO:0050866	negative regulation of cell activation	14/225	184/18493	5.90431816234651e-08	1.92550234659112e-06	1.46383219331489e-06	CCR2/CLEC4G/CNR2/PTPRC/MNDA/CD84/PDCD1LG2/BANK1/RIPOR2/LAX1/PLA2G2D/TNFRSF13B/FGG/SPN	14
BP	GO:0002821	positive regulation of adaptive immune response	11/225	105/18493	6.19148571424107e-08	1.99567423254375e-06	1.51717924111513e-06	CD1C/CCR2/IL6/PTPRC/CD28/NLRP3/CD226/CCL19/IL12B/CD1E/FCER2	11
BP	GO:0002705	positive regulation of leukocyte mediated immunity	12/225	131/18493	6.97045804390181e-08	2.19569428382907e-06	1.66924126840807e-06	CD1C/IL6/CRTAM/PTPRC/CD28/NLRP3/SLAMF6/SH2D1A/CD226/IL12B/CD1E/FCER2	12
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	12/225	131/18493	6.97045804390181e-08	2.19569428382907e-06	1.66924126840807e-06	CCR2/CD2/PTPRC/CYBB/TLR4/LILRA4/CCL19/IL12B/LEP/GPR18/SPN/SLAMF1	12
BP	GO:0031343	positive regulation of cell killing	9/225	64/18493	7.67172306929087e-08	2.38944003910947e-06	1.81653336306568e-06	CD1C/CRTAM/PTPRC/SLAMF6/SH2D1A/CD226/IL12B/CD1E/FCER2	9
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	12/225	135/18493	9.73550787297317e-08	2.99853642487574e-06	2.27958909493477e-06	CCR2/CD2/PTPRC/CYBB/TLR4/LILRA4/CCL19/IL12B/LEP/GPR18/SPN/SLAMF1	12
BP	GO:0002292	T cell differentiation involved in immune response	9/225	66/18493	1.00957005704556e-07	3.07530571223109e-06	2.33795171105287e-06	LY9/IL6/CLEC4D/NLRP3/SLAMF6/EOMES/CCL19/IL12B/SPN	9
BP	GO:0070098	chemokine-mediated signaling pathway	10/225	87/18493	1.02782665847835e-07	3.09688641011086e-06	2.35435808955797e-06	CCR2/CCL21/CCR4/CCL11/XCR1/CCR5/CXCR3/ACKR1/CCL19/CCL23	10
BP	GO:0002695	negative regulation of leukocyte activation	13/225	164/18493	1.09779325671761e-07	3.27213215873249e-06	2.48758585166798e-06	CCR2/CLEC4G/CNR2/PTPRC/MNDA/CD84/PDCD1LG2/BANK1/RIPOR2/LAX1/PLA2G2D/TNFRSF13B/SPN	13
BP	GO:0045061	thymic T cell selection	6/225	21/18493	1.41357044498068e-07	4.16852901434729e-06	3.16905714541022e-06	CARD11/PTPRC/CD28/CD3G/DOCK2/CD3E	6
BP	GO:0032103	positive regulation of response to external stimulus	17/225	297/18493	1.45458746330109e-07	4.24433310344277e-06	3.22668598507345e-06	PIK3CG/CCR2/IL16/CCL21/CCR4/IL6/FABP4/CD28/TLR10/TLR4/NCKAP1L/RIPOR2/TLR7/IL33/CCL19/IL12B/P2RY12	17
BP	GO:0002758	innate immune response-activating signal transduction	15/225	233/18493	1.78744212870389e-07	5.16123914663248e-06	3.92374905884341e-06	CARD11/CLEC4C/TLR8/CLEC4D/FCRL3/TLR10/TLR4/ICAM3/FCN1/CD209/TLR7/CLEC10A/LILRA4/DMBT1/FGG	15
BP	GO:0043383	negative T cell selection	5/225	12/18493	1.88420910315724e-07	5.38456457108441e-06	4.09352862129224e-06	THEMIS/PTPRC/CD28/DOCK2/CD3E	5
BP	GO:0002440	production of molecular mediator of immune response	16/225	268/18493	1.93613226187296e-07	5.47648839786923e-06	4.16341223229825e-06	IL7R/CARD11/IL6/GAPT/FCRL3/PTPRC/CD28/TLR4/NLRP3/NR4A3/CD226/AICDA/CD96/IL33/IL12B/CD40LG	16
BP	GO:0032615	interleukin-12 production	8/225	52/18493	2.0130735148908e-07	5.63660584169424e-06	4.28513894397808e-06	IRF8/TLR8/TLR4/CCL19/IL12B/LEP/SLAMF1/CD40LG	8
BP	GO:1903706	regulation of hemopoiesis	20/225	418/18493	2.09785517093093e-07	5.81525453382052e-06	4.4209537391618e-06	IL7R/CLDN18/CARD11/CD2/CD27/FCRL3/PTPRC/CD28/TLR4/EVI2B/NLRP3/NR4A3/DCSTAMP/NCKAP1L/PRDM1/PRKCB/CCL19/IL12B/TESPA1/CR1	20
BP	GO:0032760	positive regulation of tumor necrosis factor production	9/225	73/18493	2.45974375041271e-07	6.75090066944954e-06	5.13226366683298e-06	CCR2/CD2/PTPRC/CYBB/TLR4/CCL19/IL12B/LEP/SPN	9
BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	7/225	37/18493	2.71353206389804e-07	7.37442243247585e-06	5.60628605977696e-06	CCR2/CCL21/VCAM1/SELP/SELPLG/LEP/SPN	7
BP	GO:0043367	CD4-positive, alpha-beta T cell differentiation	9/225	74/18493	2.7709938264488e-07	7.45747076399618e-06	5.66942221824271e-06	LY9/IL6/NLRP3/SLAMF6/NCKAP1L/CCL19/IL12B/PLA2G2D/SPN	9
BP	GO:0006959	humoral immune response	18/225	349/18493	2.92308170496203e-07	7.79113700591803e-06	5.92308661268622e-06	MS4A1/CCR2/JCHAIN/IL6/PTPRC/CD28/FCN1/C7/SH2D1A/CR2/C1S/KRT1/LYZ/PAX5/CR1/DMBT1/FCER2/PRTN3	18
BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	8/225	55/18493	3.15654386859168e-07	8.33327581308203e-06	6.3352389222261e-06	CD1C/CRTAM/PTPRC/SLAMF6/SH2D1A/CD226/IL12B/CD1E	8
BP	GO:0002685	regulation of leukocyte migration	13/225	180/18493	3.244270573146e-07	8.48407361203842e-06	6.4498805237719e-06	CCR2/CCL21/IL6/CD200R1/NCKAP1L/RIPOR2/CXCR3/IL33/SELP/CCL19/P2RY12/GPR18/SPN	13
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	9/225	76/18493	3.49741625826314e-07	9.06059613822938e-06	6.88817250274748e-06	CCR2/CD2/PTPRC/CYBB/TLR4/CCL19/IL12B/LEP/SPN	9
BP	GO:0030183	B cell differentiation	11/225	125/18493	3.72513110157201e-07	9.56116982736815e-06	7.26872559975357e-06	CARD11/VCAM1/CD27/FCRL3/PTPRC/CD79A/NCKAP1L/CR2/AICDA/DOCK11/CD40LG	11
BP	GO:0050707	regulation of cytokine secretion	13/225	184/18493	4.17761791354931e-07	1.06241806021639e-05	8.07686244608954e-06	CD2/TLR8/CRTAM/TLR10/TLR4/NLRP3/FCN1/CD200R1/CSF1R/BANK1/CLEC9A/IL33/CCL19	13
BP	GO:0002456	T cell mediated immunity	10/225	102/18493	4.66863511068375e-07	1.1764960478923e-05	8.94412200152045e-06	CD1C/IL7R/CLEC4G/IL6/PTPRC/NLRP3/CD8A/GZMM/IL12B/CD1E	10
BP	GO:0002218	activation of innate immune response	15/225	252/18493	4.89612776383695e-07	1.22270866318523e-05	9.29544597743155e-06	CARD11/CLEC4C/TLR8/CLEC4D/FCRL3/TLR10/TLR4/ICAM3/FCN1/CD209/TLR7/CLEC10A/LILRA4/DMBT1/FGG	15
BP	GO:0072678	T cell migration	8/225	59/18493	5.51358541914915e-07	1.36461239123942e-05	1.03742462491885e-05	PIK3CG/CCR2/CCL21/GPR15/CD200R1/RIPOR2/CXCR3/SPN	8
BP	GO:0002287	alpha-beta T cell activation involved in immune response	8/225	60/18493	6.29574800586969e-07	1.53086083090094e-05	1.16381232758551e-05	LY9/IL6/NLRP3/SLAMF6/EOMES/CCL19/IL12B/SPN	8
BP	GO:0002293	alpha-beta T cell differentiation involved in immune response	8/225	60/18493	6.29574800586969e-07	1.53086083090094e-05	1.16381232758551e-05	LY9/IL6/NLRP3/SLAMF6/EOMES/CCL19/IL12B/SPN	8
BP	GO:0002700	regulation of production of molecular mediator of immune response	11/225	133/18493	6.96190630757064e-07	1.67812211170311e-05	1.27576534807839e-05	IL6/FCRL3/PTPRC/CD28/TLR4/NLRP3/NR4A3/CD226/CD96/IL33/CD40LG	11
BP	GO:0046635	positive regulation of alpha-beta T cell activation	8/225	61/18493	7.1707910437172e-07	1.71357179079173e-05	1.30271539650833e-05	CCR2/PTPRC/CD28/NLRP3/NCKAP1L/CCL19/IL12B/CD3E	8
BP	GO:0048247	lymphocyte chemotaxis	8/225	63/18493	9.23582555191613e-07	2.18818020768474e-05	1.66352881285975e-05	PIK3CG/CCR2/CCL21/CCL11/CH25H/CXCR3/CCL19/CCL23	8
BP	GO:0002715	regulation of natural killer cell mediated immunity	7/225	44/18493	9.39543826118109e-07	2.2071317677961e-05	1.67793643165785e-05	CRTAM/SLAMF6/SH2D1A/CD226/CD96/IL12B/LEP	7
BP	GO:0002295	T-helper cell lineage commitment	5/225	16/18493	9.98642290786964e-07	2.32624910089199e-05	1.76849346851438e-05	LY9/IL6/SLAMF6/IL12B/SPN	5
BP	GO:0097529	myeloid leukocyte migration	13/225	199/18493	1.01927392027407e-06	2.35452275583311e-05	1.78998805999008e-05	PIK3CG/CCR2/CCL21/IL6/CCL11/JAML/CD200R1/NCKAP1L/RIPOR2/CCL19/P2RY12/CCL23/PRTN3	13
BP	GO:0002704	negative regulation of leukocyte mediated immunity	7/225	45/18493	1.10118953031082e-06	2.52272510580298e-05	1.91786119154612e-05	IL7R/CCR2/CLEC4G/PTPRC/CD84/CD96/CR1	7
BP	GO:0035710	CD4-positive, alpha-beta T cell activation	9/225	87/18493	1.12153019766893e-06	2.54826369503136e-05	1.9372764932987e-05	LY9/IL6/NLRP3/SLAMF6/NCKAP1L/CCL19/IL12B/PLA2G2D/SPN	9
BP	GO:0071356	cellular response to tumor necrosis factor	14/225	235/18493	1.17577335007876e-06	2.64979164749457e-05	2.01446148639938e-05	CLDN18/CCL21/VCAM1/CD27/CCL11/FABP4/TNFSF8/DCSTAMP/TNFRSF9/CCL19/TNFRSF13B/CCL23/CD40LG/TCL1A	14
BP	GO:0002709	regulation of T cell mediated immunity	8/225	66/18493	1.32747013936542e-06	2.9675380857427e-05	2.25602310612018e-05	CD1C/IL7R/CLEC4G/IL6/PTPRC/NLRP3/IL12B/CD1E	8
BP	GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	5/225	17/18493	1.40075168156869e-06	3.10630692904672e-05	2.36151988757938e-05	LY9/IL6/SLAMF6/IL12B/SPN	5
BP	GO:0150076	NA	7/225	47/18493	1.49495170692735e-06	3.28889375524018e-05	2.50032858585511e-05	IL6/TLR8/PTPRC/MMP9/CD200R1/TLR7/IL33	7
BP	GO:0046634	regulation of alpha-beta T cell activation	9/225	91/18493	1.64316747476953e-06	3.58650412603238e-05	2.72658208411819e-05	CCR2/PTPRC/CD28/NLRP3/NCKAP1L/PRDM1/CCL19/IL12B/CD3E	9
BP	GO:0033077	T cell differentiation in thymus	8/225	69/18493	1.87297152109427e-06	4.05615395036977e-05	3.08362581022263e-05	IL7R/CARD11/PTPRC/CD28/CD3G/DOCK2/TESPA1/CD3E	8
BP	GO:0016064	immunoglobulin mediated immune response	13/225	212/18493	2.07081056898748e-06	4.44983480405682e-05	3.38291534811337e-05	CD27/GAPT/TLR8/PTPRC/CD28/C7/CR2/C1S/CD226/AICDA/CR1/FCER2/CD40LG	13
BP	GO:0046633	alpha-beta T cell proliferation	6/225	32/18493	2.11075625498549e-06	4.50078179909214e-05	3.42164698176595e-05	CCR2/PTPRC/CD28/DOCK2/IL12B/CD3E	6
BP	GO:0019724	B cell mediated immunity	13/225	213/18493	2.18198407725081e-06	4.61714493293072e-05	3.51011018292979e-05	CD27/GAPT/TLR8/PTPRC/CD28/C7/CR2/C1S/CD226/AICDA/CR1/FCER2/CD40LG	13
BP	GO:0032655	regulation of interleukin-12 production	7/225	50/18493	2.30190997026915e-06	4.83401093756521e-05	3.67497907534197e-05	IRF8/TLR8/TLR4/CCL19/IL12B/SLAMF1/CD40LG	7
BP	GO:0050853	B cell receptor signaling pathway	10/225	122/18493	2.44466087434782e-06	5.09518792758809e-05	3.87353468179212e-05	FCRL3/PTPRC/MNDA/CD79A/NCKAP1L/BLK/ITK/KLHL6/PRKCB/PAX5	10
BP	GO:0032633	interleukin-4 production	6/225	33/18493	2.55373546083427e-06	5.22106141353423e-05	3.96922797520146e-05	CD28/NLRP3/ITK/IL33/CD3E/CD40LG	6
BP	GO:0006874	cellular calcium ion homeostasis	19/225	448/18493	2.57763199561948e-06	5.22106141353423e-05	3.96922797520146e-05	GPR65/PIK3CG/CCR2/CCL21/CCR4/CCL11/XCR1/PTPRC/CCR5/CXCR3/PRKCB/CCL19/CD52/P2RY8/GPR18/FPR1/CCL23/GPR174/SLC8A2	19
BP	GO:0002363	alpha-beta T cell lineage commitment	5/225	19/18493	2.5803947101522e-06	5.22106141353423e-05	3.96922797520146e-05	LY9/IL6/SLAMF6/IL12B/SPN	5
BP	GO:0046641	positive regulation of alpha-beta T cell proliferation	5/225	19/18493	2.5803947101522e-06	5.22106141353423e-05	3.96922797520146e-05	CCR2/PTPRC/CD28/IL12B/CD3E	5
BP	GO:0050715	positive regulation of cytokine secretion	10/225	123/18493	2.63301600393393e-06	5.28892779920642e-05	4.02082230349026e-05	CD2/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/CLEC9A/IL33/CCL19	10
BP	GO:0034612	response to tumor necrosis factor	14/225	257/18493	3.36635145300727e-06	6.71332822139291e-05	5.10369981743321e-05	CLDN18/CCL21/VCAM1/CD27/CCL11/FABP4/TNFSF8/DCSTAMP/TNFRSF9/CCL19/TNFRSF13B/CCL23/CD40LG/TCL1A	14
BP	GO:0055074	calcium ion homeostasis	19/225	461/18493	3.90380704648289e-06	7.72953795203612e-05	5.87625692260056e-05	GPR65/PIK3CG/CCR2/CCL21/CCR4/CCL11/XCR1/PTPRC/CCR5/CXCR3/PRKCB/CCL19/CD52/P2RY8/GPR18/FPR1/CCL23/GPR174/SLC8A2	19
BP	GO:0001768	establishment of T cell polarity	4/225	10/18493	4.23062233400143e-06	8.25865148581124e-05	6.27850697751732e-05	CCL21/RIPOR2/DOCK2/CCL19	4
BP	GO:0072672	neutrophil extravasation	4/225	10/18493	4.23062233400143e-06	8.25865148581124e-05	6.27850697751732e-05	PIK3CG/JAML/RIPOR2/PRTN3	4
BP	GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	5/225	21/18493	4.42689053766296e-06	8.52176428500121e-05	6.4785342517553e-05	LY9/IL6/SLAMF6/IL12B/SPN	5
BP	GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	5/225	21/18493	4.42689053766296e-06	8.52176428500121e-05	6.4785342517553e-05	TRAT1/PTPRC/PRKCB/CD226/TESPA1	5
BP	GO:0050777	negative regulation of immune response	10/225	131/18493	4.65165168793233e-06	8.89267481306788e-05	6.7605130157826e-05	IL7R/CCR2/CLEC4G/PTPRC/CD84/CD96/IL33/IL12B/CR1/FCRLB	10
BP	GO:0032635	interleukin-6 production	10/225	132/18493	4.98003016742328e-06	9.45523535897078e-05	7.18819062377896e-05	IL6/TLR8/TLR4/CD200R1/NCKAP1L/BANK1/TLR7/IL33/LEP/SLAMF1	10
BP	GO:0050729	positive regulation of inflammatory response	10/225	133/18493	5.32830980455062e-06	0.000100476699171526	7.63857946918034e-05	PIK3CG/CCR2/IL6/FABP4/CD28/TLR10/TLR4/TLR7/IL33/IL12B	10
BP	GO:0042093	T-helper cell differentiation	7/225	57/18493	5.66864494199461e-06	0.000106172187697358	8.07156982494538e-05	LY9/IL6/NLRP3/SLAMF6/CCL19/IL12B/SPN	7
BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	15/225	309/18493	6.13242282827675e-06	0.000114087758926061	8.67333839788771e-05	GPR65/PIK3CG/CCR2/CCL21/CCR4/XCR1/PTPRC/CCR5/CXCR3/CCL19/CD52/P2RY8/GPR18/FPR1/GPR174	15
BP	GO:0001767	establishment of lymphocyte polarity	4/225	11/18493	6.58468570772222e-06	0.000120083873564513	9.12918337040158e-05	CCL21/RIPOR2/DOCK2/CCL19	4
BP	GO:0042535	positive regulation of tumor necrosis factor biosynthetic process	4/225	11/18493	6.58468570772222e-06	0.000120083873564513	9.12918337040158e-05	CCR2/CYBB/TLR4/SPN	4
BP	GO:0045060	negative thymic T cell selection	4/225	11/18493	6.58468570772222e-06	0.000120083873564513	9.12918337040158e-05	PTPRC/CD28/DOCK2/CD3E	4
BP	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	7/225	59/18493	7.16529667200965e-06	0.00012751915771499	9.6944388906133e-05	LY9/IL6/NLRP3/SLAMF6/CCL19/IL12B/SPN	7
BP	GO:0030888	regulation of B cell proliferation	7/225	59/18493	7.16529667200965e-06	0.00012751915771499	9.6944388906133e-05	CARD11/FCRL3/PTPRC/MNDA/TLR4/NCKAP1L/TNFRSF13B	7
BP	GO:0002407	dendritic cell chemotaxis	5/225	23/18493	7.17640281512933e-06	0.00012751915771499	9.6944388906133e-05	PIK3CG/CCR2/CCL21/CCR5/CCL19	5
BP	GO:0032753	positive regulation of interleukin-4 production	5/225	23/18493	7.17640281512933e-06	0.00012751915771499	9.6944388906133e-05	CD28/NLRP3/IL33/CD3E/CD40LG	5
BP	GO:0050708	regulation of protein secretion	18/225	438/18493	7.35801807450106e-06	0.000129913542054248	9.87646810938728e-05	CD2/IL6/TLR8/CRTAM/TLR10/TLR4/NLRP3/FCN1/CD200R1/CSF1R/BANK1/BLK/CLEC9A/IL33/CCL19/LEP/FGG/CD40LG	18
BP	GO:0072503	cellular divalent inorganic cation homeostasis	19/225	483/18493	7.60643230824891e-06	0.000133118125235375	0.00010120091392163	GPR65/PIK3CG/CCR2/CCL21/CCR4/CCL11/XCR1/PTPRC/CCR5/CXCR3/PRKCB/CCL19/CD52/P2RY8/GPR18/FPR1/CCL23/GPR174/SLC8A2	19
BP	GO:0045582	positive regulation of T cell differentiation	8/225	83/18493	7.63556346047062e-06	0.000133118125235375	0.00010120091392163	IL7R/CD27/PTPRC/NLRP3/NCKAP1L/CCL19/IL12B/TESPA1	8
BP	GO:0002698	negative regulation of immune effector process	9/225	111/18493	8.58583475765396e-06	0.000148749587176355	0.0001130844814791	IL7R/CCR2/CLEC4G/FCRL3/PTPRC/CD84/CD96/IL33/CR1	9
BP	GO:0050855	regulation of B cell receptor signaling pathway	5/225	24/18493	8.97543593089398e-06	0.000153594170313119	0.000116767497898863	FCRL3/PTPRC/BLK/PRKCB/PAX5	5
BP	GO:0006968	cellular defense response	7/225	61/18493	8.97628268063685e-06	0.000153594170313119	0.000116767497898863	CCR2/TRAT1/MNDA/CCR5/SH2D1A/ITK/SPN	7
BP	GO:1990266	neutrophil migration	9/225	112/18493	9.23855220794213e-06	0.000157112065769421	0.000119441921345174	PIK3CG/CCL21/CCL11/JAML/NCKAP1L/RIPOR2/CCL19/CCL23/PRTN3	9
BP	GO:1902107	positive regulation of leukocyte differentiation	10/225	142/18493	9.53748971176984e-06	0.000161206838298939	0.000122554906309135	IL7R/CD27/PTPRC/EVI2B/NLRP3/DCSTAMP/NCKAP1L/CCL19/IL12B/TESPA1	10
BP	GO:0072540	T-helper 17 cell lineage commitment	4/225	12/18493	9.78281810642545e-06	0.000164351344187948	0.000124945466341715	LY9/IL6/SLAMF6/IL12B	4
BP	GO:0002228	natural killer cell mediated immunity	7/225	62/18493	1.00150215710711e-05	0.000167238793945839	0.000127140603584556	CRTAM/SLAMF6/SH2D1A/CD226/CD96/IL12B/LEP	7
BP	GO:0050714	positive regulation of protein secretion	13/225	246/18493	1.05006960714399e-05	0.000174298979101985	0.000132507995808527	CD2/IL6/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/BLK/CLEC9A/IL33/CCL19/FGG	13
BP	GO:0032496	response to lipopolysaccharide	15/225	324/18493	1.08074208205053e-05	0.000178322443538338	0.000135566769941426	VCAM1/IRF8/IL6/CNR2/PDCD1LG2/CCR5/TLR4/NLRP3/IL10RA/NUGGC/AICDA/CD96/SELP/IL12B/CSF2RB	15
BP	GO:0042088	T-helper 1 type immune response	6/225	42/18493	1.10392851977504e-05	0.000180005285695083	0.000136846123627841	CCR2/TLR4/IL33/CCL19/IL12B/SPN	6
BP	GO:0042269	regulation of natural killer cell mediated cytotoxicity	6/225	42/18493	1.10392851977504e-05	0.000180005285695083	0.000136846123627841	CRTAM/SLAMF6/SH2D1A/CD226/IL12B/LEP	6
BP	GO:0150077	NA	5/225	25/18493	1.11085598897172e-05	0.000180075602422785	0.000136899580789252	IL6/PTPRC/MMP9/CD200R1/IL33	5
BP	GO:0001776	leukocyte homeostasis	8/225	88/18493	1.18116338993129e-05	0.000190359588191252	0.000144717815583992	CCR2/IL6/GAPT/NCKAP1L/DOCK11/TNFRSF13B/SIT1/GPR174	8
BP	GO:0002446	neutrophil mediated immunity	19/225	499/18493	1.20388557317301e-05	0.000192900046753503	0.000146649158350616	CLEC4C/FGL2/IL6/CLEC4D/CHIT1/PTPRC/MNDA/CYBB/MMP9/FCN1/NCKAP1L/DOCK2/KRT1/DNASE1L3/LYZ/CR1/FPR1/PRTN3/SLC27A2	19
BP	GO:0002360	T cell lineage commitment	5/225	26/18493	1.36177421819065e-05	0.000214479439365027	0.000163054544546512	LY9/IL6/SLAMF6/IL12B/SPN	5
BP	GO:0036336	dendritic cell migration	5/225	26/18493	1.36177421819065e-05	0.000214479439365027	0.000163054544546512	PIK3CG/CCR2/CCL21/CCR5/CCL19	5
BP	GO:0072539	T-helper 17 cell differentiation	5/225	26/18493	1.36177421819065e-05	0.000214479439365027	0.000163054544546512	LY9/IL6/NLRP3/SLAMF6/IL12B	5
BP	GO:0045059	positive thymic T cell selection	4/225	13/18493	1.39960026455247e-05	0.000217960220974127	0.000165700752787348	PTPRC/CD3G/DOCK2/CD3E	4
BP	GO:0045086	positive regulation of interleukin-2 biosynthetic process	4/225	13/18493	1.39960026455247e-05	0.000217960220974127	0.000165700752787348	CARD11/PTPRC/CD28/CD3E	4
BP	GO:0002702	positive regulation of production of molecular mediator of immune response	8/225	91/18493	1.51371615364501e-05	0.000234414590944356	0.000178209922940153	IL6/PTPRC/CD28/TLR4/NLRP3/NR4A3/CD226/IL33	8
BP	GO:0050864	regulation of B cell activation	11/225	183/18493	1.54249377605645e-05	0.000237544041512694	0.000180589037407311	CARD11/CD27/IL6/FCRL3/PTPRC/MNDA/CD28/TLR4/NCKAP1L/BANK1/TNFRSF13B	11
BP	GO:0002791	regulation of peptide secretion	18/225	465/18493	1.65047531528237e-05	0.000249296388695773	0.000189523570353511	CD2/IL6/TLR8/CRTAM/TLR10/TLR4/NLRP3/FCN1/CD200R1/CSF1R/BANK1/BLK/CLEC9A/IL33/CCL19/LEP/FGG/CD40LG	18
BP	GO:0032660	regulation of interleukin-17 production	5/225	27/18493	1.65478122366602e-05	0.000249296388695773	0.000189523570353511	LY9/TLR4/SLAMF6/NCKAP1L/IL12B	5
BP	GO:0032673	regulation of interleukin-4 production	5/225	27/18493	1.65478122366602e-05	0.000249296388695773	0.000189523570353511	CD28/NLRP3/IL33/CD3E/CD40LG	5
BP	GO:0045577	regulation of B cell differentiation	5/225	27/18493	1.65478122366602e-05	0.000249296388695773	0.000189523570353511	CARD11/CD27/FCRL3/PTPRC/NCKAP1L	5
BP	GO:0019722	calcium-mediated signaling	12/225	220/18493	1.68303225204727e-05	0.000252181913658109	0.000191717244301487	CCR2/TRAT1/VCAM1/CCR4/XCR1/PTPRC/CCR5/PLEK/CXCR3/SELP/P2RY12/CD3E	12
BP	GO:0002237	response to molecule of bacterial origin	15/225	337/18493	1.71848188951755e-05	0.000254827189976573	0.000193728273081605	VCAM1/IRF8/IL6/CNR2/PDCD1LG2/CCR5/TLR4/NLRP3/IL10RA/NUGGC/AICDA/CD96/SELP/IL12B/CSF2RB	15
BP	GO:0002687	positive regulation of leukocyte migration	9/225	121/18493	1.72826521340533e-05	0.000254827189976573	0.000193728273081605	CCR2/CCL21/IL6/NCKAP1L/RIPOR2/SELP/CCL19/P2RY12/SPN	9
BP	GO:0046718	viral entry into host cell	9/225	121/18493	1.72826521340533e-05	0.000254827189976573	0.000193728273081605	CLEC4G/GPR15/CCR5/FCN1/CD209/CR2/SELPLG/CR1/SLAMF1	9
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	7/225	68/18493	1.85592617933051e-05	0.000272202506301808	0.000206937577890263	CARD11/CLEC4C/CLEC4D/ICAM3/FCN1/CD209/CLEC10A	7
BP	GO:0038093	Fc receptor signaling pathway	11/225	187/18493	1.88800682353667e-05	0.000274707222198552	0.000208841747870244	GRAP2/CARD11/WIPF1/CLEC4D/PTPRC/NR4A3/CD200R1/CD3G/NCKAP1L/ITK/LILRA4	11
BP	GO:0002711	positive regulation of T cell mediated immunity	6/225	46/18493	1.89282393361917e-05	0.000274707222198552	0.000208841747870244	CD1C/IL6/PTPRC/NLRP3/IL12B/CD1E	6
BP	GO:0045621	positive regulation of lymphocyte differentiation	8/225	94/18493	1.92171194041197e-05	0.000277447161396978	0.000210924742582498	IL7R/CD27/PTPRC/NLRP3/NCKAP1L/CCL19/IL12B/TESPA1	8
BP	GO:0043374	CD8-positive, alpha-beta T cell differentiation	4/225	14/18493	1.94076421178862e-05	0.00027874603083306	0.000211912187183028	TNFSF8/NCKAP1L/EOMES/GPR18	4
BP	GO:0032675	regulation of interleukin-6 production	9/225	123/18493	1.97142882362754e-05	0.000281690757685337	0.000214150868415753	IL6/TLR8/TLR4/CD200R1/NCKAP1L/BANK1/TLR7/IL33/SLAMF1	9
BP	GO:0072538	T-helper 17 type immune response	5/225	28/18493	1.99464804633754e-05	0.000283546891510136	0.000215561964305951	LY9/IL6/NLRP3/SLAMF6/IL12B	5
BP	GO:0002793	positive regulation of peptide secretion	13/225	265/18493	2.30906959607168e-05	0.000326568414301567	0.000248268385141542	CD2/IL6/TLR8/CRTAM/TLR4/NLRP3/FCN1/CSF1R/BLK/CLEC9A/IL33/CCL19/FGG	13
BP	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	5/225	29/18493	2.38643513233349e-05	0.000334100918526688	0.000253994850341927	CRTAM/SLAMF6/SH2D1A/CD226/IL12B	5
BP	GO:0046640	regulation of alpha-beta T cell proliferation	5/225	29/18493	2.38643513233349e-05	0.000334100918526688	0.000253994850341927	CCR2/PTPRC/CD28/IL12B/CD3E	5
BP	GO:0046629	gamma-delta T cell activation	4/225	15/18493	2.62128115672821e-05	0.000365135244545256	0.000277588197607504	JAML/PTPRC/NCKAP1L/GPR18	4
